"FID" "IID" "O.HOM." "E.HOM." "N.NM." "F" "HET_RATE" "HET_DST"
584323 584323 63500 63590 64107 -0.1677 0.00946854477670145 3.22891726235982
837123 837123 63709 63580 64083 0.2567 0.005836181202503 -5.19436365730036
238033 238033 63624 63550 64056 0.15 0.00674409891345073 -3.08894502972393
791633 791633 63680 63590 64108 0.1705 0.00667623385536906 -3.2463209193269
330043 330043 63646 63720 64257 -0.1302 0.0095086916600526 3.32201600360853
966043 966043 63581 63520 64012 0.1196 0.00673311254139849 -3.11442191170273
63643 63643 63557 63640 64163 -0.148 0.0094446955410439 3.17361200242118
588443 588443 63605 63680 64212 -0.1476 0.00945306173300941 3.19301280955783
145643 145643 63733 63790 64345 -0.09653 0.0095112285336856 3.32789889468811
798043 798043 63599 63540 64033 0.1261 0.00677775521996471 -3.01089763201871
779243 779243 63690 63770 64330 -0.1486 0.00994870200528525 4.34237937576054
113953 113953 63738 63880 64462 -0.25 0.0112314231640346 7.31694963587618
1563 1563 63662 63740 64289 -0.1383 0.00975283485510741 3.88817263263591
930663 930663 63519 63600 64132 -0.1596 0.00955841077777085 3.43731230780927
611963 611963 63716 63780 64322 -0.1095 0.00942134883865551 3.11947209358551
319763 319763 63616 63690 64223 -0.1411 0.00945144262958753 3.18925818459206
799963 799963 63541 63620 64144 -0.149 0.00940072337241207 3.07164260385559
804763 804763 63602 63670 64209 -0.1277 0.00945350340294974 3.19403702145326
619073 619073 63672 63760 64305 -0.1606 0.00984371355260089 4.09891607363887
871073 871073 63575 63510 63995 0.1414 0.00656301273536995 -3.50887539117697
579673 579673 63558 63500 63987 0.1258 0.00670448684889118 -3.18080355125599
578683 578683 63669 63560 64084 0.2074 0.00647587541351976 -3.71094275738026
771283 771283 63589 63670 64193 -0.1468 0.00940912560559563 3.09112698888804
498483 498483 63619 63710 64260 -0.1613 0.00997510115157174 4.40359775896146
436483 436483 63627 63690 64236 -0.1238 0.00948066504763684 3.25702360271527
143693 143693 63557 63660 64187 -0.1939 0.00981507158770467 4.03249669917824
517293 517293 63569 63640 64174 -0.1399 0.00942749400068564 3.13372243637724
371504 371504 63672 63570 64090 0.1997 0.00652207832735216 -3.60380036522501
517504 517504 63529 63600 64132 -0.1417 0.00940248238009106 3.07572166023783
374004 374004 63546 63470 63979 0.1449 0.00676784569937011 -3.03387734592741
35204 35204 63569 63510 63999 0.1284 0.0067188549821091 -3.14748452359993
521004 521004 63612 63540 64044 0.1347 0.00674536256323777 -3.08601468508113
345304 345304 63557 63640 64159 -0.1596 0.00938293926027525 3.03040208115592
708014 708014 63739 63800 64365 -0.1127 0.0097257826458479 3.82543982700244
802514 802514 63597 63530 64027 0.1377 0.00671591672263264 -3.15429820964195
940114 940114 63729 63810 64375 -0.1443 0.0100349514563107 4.54238781112594
567024 567024 63545 63640 64161 -0.1808 0.00960084786708437 3.53572192936797
458024 458024 63541 63470 63968 0.1366 0.00667521260630315 -3.24868914805605
686924 686924 63618 63540 64051 0.1448 0.00676023793539523 -3.05151939409297
352034 352034 63626 63690 64231 -0.1232 0.00941912783546885 3.11432169126962
246034 246034 63710 63620 64129 0.1828 0.00653370549985186 -3.57683749703582
190044 190044 63566 63660 64184 -0.1737 0.00962856786738128 3.60000331112516
732754 732754 63621 63540 64045 0.1527 0.00662034506987275 -3.37592439400056
754454 754454 63690 63580 64100 0.2066 0.00639625585023401 -3.8955767937472
826554 826554 63751 63850 64417 -0.1648 0.0103388856978748 5.24719707526004
724754 724754 63543 63620 64153 -0.1509 0.00950851869748882 3.32161491152797
810654 810654 63642 63710 64244 -0.129 0.00937052487391819 3.00161370091955
337264 337264 63531 63610 64132 -0.155 0.0093712967005551 3.00340353072354
16664 16664 63556 63640 64160 -0.1614 0.0094139650872818 3.10234952014503
73964 73964 63718 63590 64113 0.2384 0.00616099698969008 -4.44113106735484
879164 879164 63565 63640 64168 -0.1414 0.00939720733075676 3.0634890680151
677964 677964 63574 63650 64176 -0.141 0.0093804537521815 3.02463830435492
432564 432564 63505 63600 64113 -0.1836 0.0094832561259027 3.26303219179849
433674 433674 63544 63650 64171 -0.2031 0.00977076872730673 3.92976044190291
161674 161674 63734 63850 64423 -0.2028 0.0106949381432097 6.07286601173206
786574 786574 63649 63710 64254 -0.1082 0.00941575621751175 3.10650306721773
331184 331184 63756 63840 64419 -0.1514 0.0102919945978671 5.13845881161201
235794 235794 63667 63580 64096 0.1607 0.00669308537194209 -3.20724304203919
239894 239894 63523 63610 64129 -0.1694 0.00944970294250651 3.18522393177116
414494 414494 63622 63690 64232 -0.1352 0.00949682401295305 3.29449548609068
118005 118005 63569 63660 64190 -0.167 0.00967440411279015 3.70629541638795
49205 49205 63573 63650 64186 -0.1469 0.009550369239398 3.41866435714104
784505 784505 63674 63770 64309 -0.1698 0.00987420112270444 4.16961532009213
203315 203315 63681 63740 64289 -0.1114 0.00945729440495264 3.20282817745543
639515 639515 63554 63630 64158 -0.1495 0.00941425854920665 3.10303004459742
756715 756715 63559 63490 63981 0.1341 0.00659570810084244 -3.43305637071823
294515 294515 63498 63580 64103 -0.1613 0.00943793582203641 3.15793653079644
435415 435415 63926 63580 64097 0.668 0.00266783156778008 -12.5416179945436
390415 390415 63624 63690 64227 -0.1301 0.00938857489840721 3.04347086190359
417125 417125 63777 63880 64451 -0.1714 0.0104575569036943 5.52239004074202
838225 838225 63593 63660 64202 -0.1243 0.00948568580418055 3.26866650187254
678725 678725 63697 63590 64109 0.199 0.0064265547739007 -3.82531500954125
723725 723725 63752 63830 64404 -0.1423 0.0101235948077759 4.74794758943547
